Nº ESTAÇÃO,	Data e Hora,	Latitude,	Longitude
001,	Oct 17 2022 11:05:04,	36 40.13 S,	048 37.58 W
001MEPHY,	Oct 17 2022 15:39:23,	36 40.13 S,	048 37.58 W
002,	Oct 17 2022 21:01:25,	37 16.72 S,	048 37.48 W
003,	Oct 18 2022 02:57:07,	37 44.65 S,	048 37.45 W
005,	Oct 18 2022 16:26:34,	38 39.38 S,	048 59.66 W
005MEPHY,	Oct 18 2022 15:56:17,	38 39.42 S,	048 59.20 W
006,	Oct 22 2022 00:21:34,	42 12.54 S,	053 27.22 W
007,	Oct 22 2022 04:55:15,	42 10.83 S,	052 56.87 W
008,	Oct 22 2022 23:44:28,	42 30.30 S,	052 37.08 W
009,	Oct 23 2022 04:30:44,	42 49.84 S,	052 15.44 W
010,	Oct 23 2022 09:44:46,	43 21.18 S,	052 01.61 W
011,	Oct 23 2022 13:12:50,	43 40.98 S,	051 55.50 W
012,	Oct 23 2022 17:02:32,	44 01.70 S,	051 51.61 W
013,	Oct 23 2022 20:53:51,	44 23.34 S,	051 50.60 W
013LR,	Oct 23 2022 21:56:09,	44 24.07 S,	051 46.92 W
014LR,	Oct 25 2022 11:27:01,	45 53.01 S,	058 29.32 W
015,	Nov 09 2022 12:07:14,	62 08.82 S,	058 24.51 W
016,	Nov 09 2022 14:38:16,	62 09.82 S,	058 22.39 W
017,	Nov 09 2022 17:12:58,	62 13.33 S,	058 12.09 W
018,	Nov 09 2022 19:30:02,	62 11.15 S,	058 03.26 W
019,	Nov 11 2022 01:08:15,	62 55.48 S,	060 08.48 W
020,	Nov 11 2022 06:25:21,	62 42.00 S,	058 53.83 W
021,	Nov 11 2022 10:57:30,	62 21.63 S,	057 56.66 W
022,	Nov 14 2022 23:10:24,	59 45.37 S,	062 03.38 W
