Arquivo		Valores
#COMMA SEPARATED LATITUDE, LONGITUDE, AND VALUES AT DEPTHS (M):0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500
doperantar38_002.cnv	243.556,242.685,241.814,245.792,248.480,246.313,245.857,247.103,250.563,255.468,255.943,252.498,245.339,239.027,235.438,234.152,234.539,235.016,235.562,236.013,235.909,234.038,232.462,237.700,240.146,237.013,234.947,234.402,233.883,233.346,232.923,232.568,232.113,230.333,227.932,224.516,,,,,,221.226,,,218.073,215.513,213.787,,213.356,213.279,213.202,,,,,,
doperantar38_003.cnv	275.508,284.202,288.154,286.652,286.429,289.057,291.782,296.285,302.653,308.881,311.070,308.136,304.600,302.384,301.042,301.450,302.079,302.362,302.665,302.823,302.409,300.454,300.371,301.833,,309.158,299.021,297.699,295.163,291.850,287.884,282.888,275.843,267.319,258.133,250.714,260.192,233.953,,219.280,,,,,199.963,195.018,191.968,188.943,179.972,179.959,181.280,182.652,,185.423,187.027,188.773
doperantar38_003b.cnv	275.508,284.202,288.154,286.652,286.429,289.057,291.782,296.285,302.653,308.881,311.070,308.136,304.600,302.384,301.042,301.450,302.079,302.362,302.665,302.823,302.409,300.454,300.371,301.833,,309.158,299.021,297.699,295.163,291.850,287.884,282.888,275.843,267.319,258.133,250.714,260.192,233.953,,219.280,,,,,199.963,195.018,191.968,188.943,179.972,179.959,181.280,182.652,,185.423,187.027,188.773
doperantar38_003c.cnv	,,283.423,,,,,,,,281.465,279.294,277.210,,,,,,,,,,235.358,234.674,,,235.728,229.760,227.662,234.908,240.929,234.594,248.306,248.204,248.754,249.296,225.714,244.681,244.036,244.253,256.170,249.869,,257.545,256.485,253.395,,242.123,229.638,230.887,,219.209,202.619,196.969,191.552,184.216
doperantar38_004.cnv	,,283.423,,,,,,,,281.465,279.294,277.210,,,,,,,,,,235.358,234.674,,,235.728,229.760,227.662,234.908,240.929,234.594,248.306,248.204,248.754,249.296,225.714,244.681,244.036,244.253,256.170,249.869,,257.545,256.485,253.395,,242.123,229.638,230.887,,219.209,202.619,196.969,191.552,184.216
doperantar38_004b.cnv	,,283.423,,,,,,,,281.465,279.294,277.210,,,,,,,,,,235.358,234.674,,,235.728,229.760,227.662,234.908,240.929,234.594,248.306,248.204,248.754,249.296,225.714,244.681,244.036,244.253,256.170,249.869,,257.545,256.485,253.395,,242.123,229.638,230.887,,219.209,202.619,196.969,191.552,184.216
doperantar38_005.cnv	257.934,,,,,,,,275.634,275.606,275.577,275.549,275.521,,,,,,,,,272.918,,,,,265.022,,262.777,264.581,267.412,269.102,270.352,271.201,270.853,271.180,,272.204,,,269.057,,,259.034,248.166,241.644,244.473,242.708,238.060,222.699,226.148,220.252,,192.804,196.445,192.854,189.779
doperantar38_006.cnv	257.934,,,,,,,,275.634,275.606,275.577,275.549,275.521,,,,,,,,,272.918,,,,,265.022,,262.777,264.581,267.412,269.102,270.352,271.201,270.853,271.180,,272.204,,,269.057,,,259.034,248.166,241.644,244.473,242.708,238.060,222.699,226.148,220.252,,192.804,196.445,192.854,189.779
doperantar38_007.cnv	274.055,,,,282.690,281.898,281.106,280.314,279.521,270.697,270.289,,,,,,,,,,,,,,,,,,,,,,,,,,,280.394,,,267.752,,,252.192,246.573,240.656,233.983,226.743,220.647,215.561,210.502,205.374,200.348,195.216,191.451,189.248,187.257
doperantar38_008.cnv	274.055,,,,282.690,281.898,281.106,280.314,279.521,270.697,270.289,,,,,,,,,,,,,,,,,,,,,,,,,,,280.394,,,267.752,,,252.192,246.573,240.656,233.983,226.743,220.647,215.561,210.502,205.374,200.348,195.216,191.451,189.248,187.257
