Nº ESTAÇÃO,	Data e Hora,	Latitude,	Longitude
001,	Oct 16 2023 02:33:28,	37 22.97 S,	051 25.37 W
002,	Oct 16 2023 08:29:02,	37 53.44 S,	051 46.15 W
003,	Oct 16 2023 14:11:02,	38 28.81 S,	052 09.38 W
005,	Oct 17 2023 00:39:31,	39 18.87 S,	053 09.31 W
007,	Oct 18 2023 00:54:10,	41 49.29 S,	054 31.41 W
008,	Oct 18 2023 09:23:08,	42 37.54 S,	054 58.51 W
009,	Oct 18 2023 16:32:08,	43 19.24 S,	055 32.42 W
010,	Oct 19 2023 00:22:47,	44 13.49 S,	056 00.10 W
011,	Oct 19 2023 08:19:59,	45 08.67 S,	055 57.85 W
012,	Oct 19 2023 15:31:14,	45 45.00 S,	055 01.26 W
013,	Oct 19 2023 23:00:40,	46 24.51 S,	055 54.95 W
014,	Oct 20 2023 10:58:48,	47 05.79 S,	056 32.90 W
015,	Oct 20 2023 19:17:13,	46 45.52 S,	057 57.77 W
016,	Oct 21 2023 04:54:38,	47 17.16 S,	059 17.59 W
017,	Nov 07 2023 10:12:31,	62 11.60 S,	058 03.21 W
018,	Nov 07 2023 12:56:51,	62 13.46 S,	058 12.64 W
019,	Nov 07 2023 15:27:40,	62 12.74 S,	058 20.49 W
020,	Nov 07 2023 17:35:19,	62 08.28 S,	058 26.46 W
021,	Nov 07 2023 20:05:24,	62 16.32 S,	058 25.69 W
022,	Nov 07 2023 22:53:42,	62 18.70 S,	058 31.66 W
023,	Nov 08 2023 09:02:28,	62 09.26 S,	058 24.38 W
024,	Nov 08 2023 11:02:46,	62 12.92 S,	058 19.80 W
025,	Nov 08 2023 13:45:45,	62 11.31 S,	058 02.91 W
026,	Nov 08 2023 16:16:15,	62 13.40 S,	058 12.50 W
027,	Nov 08 2023 19:38:30,	62 16.55 S,	058 26.39 W
028,	Nov 08 2023 22:59:21,	62 18.54 S,	058 32.92 W
029,	Nov 09 2023 04:08:28,	62 08.30 S,	058 26.22 W
030,	Nov 09 2023 05:10:08,	62 08.10 S,	058 26.40 W
031,	Nov 09 2023 06:07:33,	62 08.51 S,	058 26.69 W
032,	Nov 09 2023 07:09:23,	62 08.42 S,	058 26.62 W
033,	Nov 09 2023 08:06:12,	62 08.12 S,	058 26.48 W
034,	Nov 09 2023 09:05:42,	62 08.19 S,	058 26.42 W
035,	Nov 09 2023 10:06:19,	62 08.15 S,	058 26.56 W
036,	Nov 09 2023 11:10:29,	62 08.52 S,	058 26.36 W
037,	Nov 09 2023 12:08:15,	62 08.60 S,	058 26.37 W
038,	Nov 09 2023 13:11:55,	62 08.57 S,	058 26.33 W
039,	Nov 09 2023 14:12:29,	62 08.51 S,	058 26.65 W
040,	Nov 09 2023 15:06:47,	62 08.53 S,	058 26.22 W
041,	Nov 09 2023 16:23:52,	62 08.45 S,	058 26.32 W
042,	Nov 09 2023 17:06:28,	62 08.39 S,	058 26.43 W
043,	Nov 09 2023 18:18:47,	62 08.44 S,	058 25.74 W
044,	Nov 09 2023 19:07:43,	62 08.87 S,	058 26.12 W
045,	Nov 09 2023 20:07:12,	62 08.59 S,	058 26.59 W
046,	Nov 09 2023 21:09:08,	62 08.52 S,	058 26.59 W
047,	Nov 09 2023 22:04:48,	62 08.18 S,	058 26.60 W
048,	Nov 09 2023 23:05:39,	62 08.23 S,	058 26.45 W
049,	Nov 10 2023 00:06:10,	62 08.21 S,	058 26.69 W
050,	Nov 10 2023 01:03:24,	62 08.29 S,	058 26.27 W
051,	Nov 10 2023 02:01:52,	62 08.18 S,	058 26.57 W
052,	Nov 10 2023 03:08:21,	62 08.45 S,	058 26.37 W
053,	Nov 17 2023 02:11:25,	62 18.18 S,	058 13.23 W
054,	Nov 17 2023 03:29:41,	62 18.63 S,	058 16.10 W
