Nº ESTAÇÃO	Mark Scan
001		7141
002		2328
003		2418
003b		2418
003c		2418
004		1639
004b		1663
005		3309
006		2394
007		1834
008		1944
008B		1944
009		2223
009B		2223
010		2898
011		2466
012		2100
013		1989
013a		1989
013b		3786
014		2396
014b		2099
015		453
015b		2189
016		3764
016b		306
017		3656
017b		282
018		1844
018b		417
018Bb		417
019		1072
020		885
020b		885
021		203
022		6428
023		189
024		148
